session_id,ErrorPct,TooFast,Condition,ConditionNum,Age,Ethnicity,Gender,Race,WhiteAsianBIAT,WhiteHispBIAT,WhiteBlackBIAT,AsianHispBIAT,AsianBlackBIAT,HispBlackBIAT,WhiteImpAgg,HispImpAgg,AsianImpAgg,BlackImpAgg,RaceFocal,WhiteAsianExp,WhiteHispExp,WhiteBlackExp,AsianHispExp,AsianBlackExp,HispBlackExp,WhiteExpAgg,BlackExpAgg,AsianExpAgg,HispExpAgg,CondxImpWB,CondxImpWH,CondxImpWA,WhiteMinorityBIAT,WhiteMinorityExp
2439707,.0677083333333333,0,bad,-1,18,2,1,6,-.121809986113371,.158048022599072,.75502198102862,-.0643925705999269,-.088527669854936,.417852990186957,.26375333917144,.108065846062604,-.0103700847804974,-.361449100453547,White,0,0,0,-1,-2,0,0,-.666666666666667,1,-.333333333333333,-.75502198102862,-.158048022599072,.121809986113371, , 
2440028,.0625,0,good,1,18,2,2,6,.460772611791684,.859273641243536,.698005832218385,-.573096347420964,-.585426681537532,.375223343541473,.672684028417868,.0296820165729673,-.539765213583393,-.162600831407442,White,1,1,-1,0,0,0,.333333333333333,.333333333333333,-.333333333333333,-.333333333333333,.698005832218385,.859273641243536,.460772611791684, , 
2440036,.0677083333333333,.0104166666666667,bad,-1,18,2,1,6,.608891148041913,-.209055945513543,-.235255411618207,-.834083506580492,.306142718130576,.342507528679213,.0548599303033876,.461882326924416,-.378943978830609,-.137798278397194,White,2,2,2,0,0,0,2,-.666666666666667,-.666666666666667,-.666666666666667,.235255411618207,.209055945513543,-.608891148041913, , 
2440155,.109375,0,good,1,19,2,1,6,.752097758018557,.652921797099538,.429675995946321,.346257277773013,-.302724963165113,-.141895768290057,.611565183688139,-.380358281054203,-.236188481136886,.00498157850294939,White,2,2,2,0,-1,-1,2,-1.33333333333333,-.333333333333333,-.333333333333333,.429675995946321,.652921797099538,.752097758018557, , 
2440157,.0416666666666667,0,good,1,18,2,1,6,.158542845944805,.122694762869099,-.0436953518511989,.181264240101953,.528362818546057,.394403172978649,.0791807523209017,.0301480566691993,.183694737567735,-.293023546557836,White,0,0,0,0,0,0,0,0,0,0,-.0436953518511989,.122694762869099,.158542845944805, , 
2440160,.171875,0,bad,-1,18,2,1,6,.654289858946971,.683612664772319,.268922423107634,.97196874450099,-.116566672372031,-.308779720339178,.535608315608975,-.654787043204162,.067037404393996,.0521413232011917,White,0,0,0,0,0,0,0,0,0,0,-.268922423107634,-.683612664772319,-.654289858946971, , 
2440161,.09375,0,good,1,19,2,1,6,.612525776932847,-.17591747160385,.172489155647588,.137194235614509,-.32436229676919,-.313184987173529,.203032486992195,-.0914872503947292,-.266564612695843,.155019376098377,White,1,1,1,-1,1,0,1,0,-.333333333333333,-.666666666666667,.172489155647588,-.17591747160385,.612525776932847, , 
2442390,.109375,.03125,good,1,19,2,2,6,.984626069084232,.477042904619993,.396494780394965,-1.02865848676551,.167600115201384,-.648950275949899,.619387918033064,-.0324448979347952,-.615228146882785,.0282851267845164,White,3,2,2,2,2,0,2.33333333333333,0,-2.33333333333333,0,.396494780394965,.477042904619993,.984626069084232, , 
2442393,.140625,0,bad,-1,19,2,1,6,.455515544869696,.561627723133064,-.324403277860971,.270163808173948,.196792873324152,-.457473721178807,.230913330047263,-.42975508416194,.00381371220946775,.195028041905209,White,1,0,0,1,1,0,.333333333333333,.333333333333333,-1,.333333333333333,.324403277860971,-.561627723133064,-.455515544869696, , 
2443730,.0677083333333333,.00520833333333333,bad,-1,18,2,1,6,.853916736441088,1.17037287826038,.097800406197478,-.200189924552717,.430001325685232,-.337899494549952,.707363340299649,-.436027482752539,-.208035111769524,-.0633007457775861,White,0,0,0,0,0,0,0,0,0,0,-.097800406197478,-1.17037287826038,-.853916736441088, , 
2443744,.09375,0,good,1,18,2,1,6,-.711260300532685,-.151278757531982,.969994815109438,.479445883495483,.513754146734857,.283292657149844,.0358185856815903,-.0149581562712191,.568153443587675,-.589013872998046,White,0,0,0,0,0,0,0,0,0,0,.969994815109438,-.151278757531982,-.711260300532685, , 
